instruction,input,output
Explain the Law Nº68/2018 of 30/08/2018 as mentioned in the Rwandan Official gazette no. special of 27/09/2018,What is the summary about this Law Nº68/2018 of 30/08/2018?,"Nº68/2018 of 30/08/2018, is a law determining offences and penalties in general……………………………..2"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article One: Purpose of this Law of Part one: general provisions, Title one: purpose of this law and definitions of terms,    explained?",Article One: Purpose of this LawThis Law sets out:1º general principles governing offences and penalties;2º offences and penalties in general.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 2: Definitions of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 2: DefinitionsFor the purposes of this Law, the following terms are defined as follows:1º offence: an act or omission that breaches public order and which is punishable by law;2º territory of Rwanda: the land, streams, rivers, lakes and air space within the boundaries of the Republic of Rwanda and Rwandan Embassies in other countries;3º offender: a person who commits an act punishable by law or omits to perform an act required by law;4º co-offender: a person who directly commission of an offence;5º accomplice: a person having aided the offender in the means of preparing the offence through any of the following acts;a) a person who, by means of  remuneration, promise, threat,  abuse of authority or power has caused an offence or given instructions for the  commission thereof;b) a  person who knowingly aids or abets the offender in the means of preparing, facilitating or committing the offence or incites the offender;c) a person who causes another to commit an offence by uttering   speeches, inciting cries or threats in a place where more than two (2) persons gather, or by means of writings, books or other printed texts that are purchased or distributed free of charge or displayed in public places, posters or notices visible to the public;infraction;d) a person who harbours an offender or a co-offender or an accomplice to make it impossible to find or arrest him/her, helps him/her hide or escape  or  provides him/her with a hiding place or facilitates him/her to conceal objects us ed or intended for use in the commission of an offence;e) a person, who knowingly, conceals an object or other equipment used or intended for use in the commission of an offence;f) a person who steals, conceals or deliberately destroys  in any way objects that may be used in offence investigation,  discovery of evidence or  punishment of offenders;6º premeditation: an intent formulated by a person before the commission of an offence;7º ambush: an act of waiting in one or more places for an individual with intent to inflict death or commit any act of violence upon such an individual;8º child: a person under the age of eighteen (18);infraction;(18) ans ;9º public: a place where more than two (2) persons gather. The content posted on the internet, on a social media or published in media or sent to another person is regarded as being disclosed in public."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 3: No punishment without law of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?",Article 3: No punishment without lawNo one can be held guilty of an offence on account of any act or omission which   did not constitute an offence under national or international law at the time when it was committed.A heavier penalty may not be imposed than the one that was applicable at the time the offence was committed.No offence is punished by a penalty which was not provided for by law before the offence was committed.D’INFRACTION
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 4: Interpretation of criminal laws of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 4: Interpretation of criminal lawsCriminal laws cannot be interpreted broadly, they must be construed strictly.Courts are prohibited to make judgement by analogy."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 5: Law  applied in case of  several laws applicable to the same offence of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 5: Law  applied in case of  several laws applicable to the same offenceWhen  several  laws  punish  the  same  offence, the specific law take s precedence over the general  law,  unless  the  law  provides otherwise."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 6: Law applied in case of conflict of criminal laws of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 6: Law applied in case of conflict of criminal lawsIn case of conflict of criminal laws including a former law which was in force when the offence was committed, and another law which was published after the commission of the offence and before a final judgement has been rendered, the new imposes a less severe penalty.infractionmu Rwanda."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 7: Prohibition of double jeopardy of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?",Article 7: Prohibition of double jeopardyNo person may  be punished for the same offence for more than once.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 8: Cessation of applicability of a law of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?",Article 8: Cessation of applicability of a lawA law ceases to apply to an offence  committed when the law was still in force when it is repealed before the final unless the new law provides otherwise.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 9 : Offence committed on the territory of Rwanda of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 9 : Offence committed on the territory of RwandaAn offence is considered to have been committed on the territory of Rwanda if at least one of the acts constituting one of its its being punishable by law , was accomplished in Rwanda.An offence is also considered to have been committed on the territory of Rwanda if it is committed by or against a Rwandan citizen in an area that is not subject to the sovereignty of any State or committed by any person on board a vessel flying the flag of Rwanda and in waters which are not incriminationRwanda.subject to the sovereignty of any State or on board a Rwanda ­ registered aircraft in the territory that is not subject to the sovereignty of any State."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 10: Applicable law to punish an offence committed on the territory of Rwanda of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 10: Applicable law to punish an offence committed on the territory of RwandaAny offence committed on the Rwandan territory, either by a Rwandan or a foreign citizen, is punished according to the Rwandan law.However, the provisions of Paragraph One of this Article do not apply to people entitled to diplomatic immunity guaranteed by international conventions ratified by Rwanda or by international customs or practices."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 11 : Punishment of a Rwandan citizen having  committed an offence outside the territory of Rwanda of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 11 : Punishment of a Rwandan citizen having  committed an offence outside the territory of RwandaA Rwandan citizen who commits a felony or a misdemeanour outside the territory of Rwanda may be punished in accordance with the Rwandan law as if the offence was committed in Rwanda, provided that such an offence is punishable by the Rwandan law. rwandaise.Rwanda"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 12: Punishment of an offence committed outside the territory of Rwanda  against the interest of Rwanda of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?",Article 12: Punishment of an offence committed outside the territory of Rwanda  against the interest of RwandaAny Rwandan or foreign citizen who commits a felony or a misdemeanour against the interests of Rwanda or against a Rwandan citizen outside the territory of Rwanda may be prosecuted and tried in accordance with the Rwandan law as if the offence had been committed in Rwanda.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 13: Punishment of an accomplice to  an offence committed abroad of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 13: Punishment of an accomplice to  an offence committed abroadAny person on the territory of Rwanda who is an accomplice to a felony or misdemeanour committed abroad, may be punished by Rwandan courts if the offence is punishable under the law of the country where the offence was committed and by the Rwandan law."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 14 : International crime and transnational crime of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter one : general principles   explained?","Article 14 : International crime and transnational crimeAn international crime is a crime classified as such under international law.Rwanda.transnationalinternational.Rwanda.International crimes are the following:1 º the crime of genocide;2 º the crime against humanity;3 º war crimes.A transnational crime means a crime, one of whose constituent elements is accomplished outside Rwanda’s borders.Any person, whether a Rwandan or foreign citizen, a national or foreign non -that commits, inside or outside the territory of Rwanda, an international  crime or transnational crime may, if apprehended on the territory of Rwanda, be punished in accordance with the Rwandan law."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 15 : Assessment of Rwandan nationality of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter ii : categories of offences   explained?","Article 15 : Assessment of Rwandan nationalityThe Rwandan citizen referred to under Articles 9, 10, 11, 12, 14, 191 and 192  of this Law is the one who had a Rwandan nationality at the time of the commission of the offence.rwandaise.rwandaise"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 16: Classification of offences of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter ii : categories of offences   explained?",Article 16: Classification of offencesOffences are classified according to their gravity as follows:1º felony;2º misdemeanour;3º petty offence.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 17: Felony of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter ii : categories of offences   explained?",Article 17: FelonyA felony is an offence punishable under the law by a principal penalty of imprisonment for a term of more than five (5) years or by life imprisonment.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 18: Misdemeanour of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter ii : categories of offences   explained?",Article 18: MisdemeanourA misdemeanour is an offence punishable under the law by a principal penalty of imprisonment for a term of not less than six (6) months and not more than five (5) years.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 19: Petty offence of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter ii : categories of offences   explained?","Article 19: Petty offenceA petty offence is an offence punishable under the law only by a principal penalty of imprisonment for a term of less than six (6) months, a fine or the penalty of community service. D’INFRACTIONS1° crime;3° contravention."
